appid,app_name,genres,steamspy_tags
1092790,Inscryption,"['Adventure', 'Indie', 'Strategy']",Adventure;Indie;Strategy
214950,Total War: ROME II - Emperor Edition,['Strategy'],Strategy
945360,Among Us,['Casual'],Casual
848450,Subnautica: Below Zero,"['Adventure', 'Indie']",Adventure;Indie
202970,Call of Duty®: Black Ops II,['Action'],Action
433340,Slime Rancher,"['Action', 'Adventure', 'Indie', 'Simulation']",Action;Adventure;Indie;Simulation
312520,Rain World,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
1150440,Aliens: Dark Descent,"['Action', 'Strategy']",Action;Strategy
1794680,Vampire Survivors,"['Action', 'Casual', 'Indie', 'RPG']",Action;Casual;Indie;RPG
381210,Dead by Daylight,['Action'],Action
1280930,Astral Ascent,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
1286680,Tiny Tina's Wonderlands,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
1119730,"Ranch Simulator: Build, Hunt, Farm",['Simulation'],Simulation
1497440,COCOON,"['Adventure', 'Indie']",Adventure;Indie
552990,World of Warships,"['Action', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Free To Play']",Action;Massively Multiplayer;Simulation;Strategy;Free To Play
1466860,Age of Empires IV: Anniversary Edition,['Strategy'],Strategy
493520,GTFO,['Action'],Action
1943950,Escape the Backrooms,"['Action', 'Indie']",Action;Indie
418370,Resident Evil 7 Biohazard,"['Action', 'Adventure']",Action;Adventure
379430,Kingdom Come: Deliverance,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
1931770,Chants of Sennaar,"['Adventure', 'Indie']",Adventure;Indie
435150,Divinity: Original Sin 2 - Definitive Edition,"['Adventure', 'RPG', 'Strategy']",Adventure;RPG;Strategy
2237970,Outpath,"['Adventure', 'Simulation', 'Strategy']",Adventure;Simulation;Strategy
1116540,DAVIGO: VR vs. PC,"['Action', 'Indie', 'Early Access']",Action;Indie;Early Access
359320,Elite Dangerous,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']",Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy
208650,Batman™: Arkham Knight,"['Action', 'Adventure']",Action;Adventure
2179850,Cobalt Core,"['Indie', 'Strategy']",Indie;Strategy
1547000,Grand Theft Auto: San Andreas – The Definitive Edition,"['Action', 'Adventure']",Action;Adventure
232090,Killing Floor 2,['Action'],Action
287390,Metro: Last Light Redux,['Action'],Action
913740,WORLD OF HORROR,"['Indie', 'RPG']",Indie;RPG
1588530,Dungeon Alchemist,"['RPG', 'Early Access']",RPG;Early Access
305620,The Long Dark,"['Adventure', 'Indie', 'Simulation', 'Strategy']",Adventure;Indie;Simulation;Strategy
1272080,PAYDAY 3,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
294100,RimWorld,"['Indie', 'Simulation', 'Strategy']",Indie;Simulation;Strategy
2395210,Tony Hawk's™ Pro Skater™ 1 + 2,['Sports'],Sports
2108330,F1® 23,"['Racing', 'Sports']",Racing;Sports
1451940,NEEDY STREAMER OVERLOAD,"['Adventure', 'Indie']",Adventure;Indie
1849250,EA SPORTS™ WRC,"['Racing', 'Simulation', 'Sports']",Racing;Simulation;Sports
440,Team Fortress 2,"['Action', 'Free To Play']",Action;Free To Play
391540,Undertale,"['Indie', 'RPG']",Indie;RPG
601150,Devil May Cry 5,['Action'],Action
1260320,Party Animals,"['Action', 'Casual', 'Indie']",Action;Casual;Indie
1332010,Stray,"['Adventure', 'Indie']",Adventure;Indie
2653790,The Exit 8,"['Adventure', 'Indie', 'Simulation']",Adventure;Indie;Simulation
270880,American Truck Simulator,"['Indie', 'Simulation']",Indie;Simulation
2009100,Immortals of Aveum™,"['Action', 'Adventure']",Action;Adventure
1353230,Bomb Rush Cyberfunk,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
306130,The Elder Scrolls® Online,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG']",Action;Adventure;Massively Multiplayer;RPG
2014780,X-Plane 12,['Simulation'],Simulation
1065310,Evil West,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
261550,Mount & Blade II: Bannerlord,"['Action', 'Indie', 'RPG', 'Simulation', 'Strategy']",Action;Indie;RPG;Simulation;Strategy
286160,Tabletop Simulator,"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",Casual;Indie;RPG;Simulation;Strategy
578080,PUBG: BATTLEGROUNDS,"['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']",Action;Adventure;Massively Multiplayer;Free To Play
438100,VRChat,"['Adventure', 'Casual', 'Massively Multiplayer', 'Simulation', 'Sports', 'Free To Play', 'Early Access']",Adventure;Casual;Massively Multiplayer;Simulation;Sports;Free To Play;Early Access
1703340,The Stanley Parable: Ultra Deluxe,"['Adventure', 'Casual', 'Indie']",Adventure;Casual;Indie
2238900,STAR OCEAN THE SECOND STORY R,"['Action', 'RPG']",Action;RPG
379720,DOOM,['Action'],Action
2399830,ARK: Survival Ascended,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access
1272320,Diplomacy is Not an Option,"['Indie', 'Simulation', 'Strategy']",Action;Adventure;Casual;Indie;Simulation;Strategy;Free To Play
1244090,Sea of Stars,"['Adventure', 'Indie', 'RPG']",Adventure;Indie;RPG
323190,Frostpunk,"['Simulation', 'Strategy']",Simulation;Strategy
2486740,Sledders,"['Racing', 'Simulation', 'Sports']",Racing;Simulation;Sports
1476970,IdleOn,"['Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Free To Play']",Casual;Indie;Massively Multiplayer;RPG;Simulation;Free To Play
1677280,Company of Heroes 3,"['Action', 'Strategy']",Action;Strategy
949230,Cities: Skylines II,['Simulation'],Simulation
1954200,Kena: Bridge of Spirits,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,['Action'],Action
627690,Idle Champions of the Forgotten Realms,"['Action', 'Adventure', 'Indie', 'Strategy', 'Free To Play']",Action;Adventure;Indie;Strategy;Free To Play
489630,"Warhammer 40,000: Gladius - Relics of War",['Strategy'],Strategy
2114740,Blasphemous 2,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
429660,Tales of Berseria™,"['Action', 'RPG']",Action;RPG
322330,Don't Starve Together,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",Action;Adventure;Indie;RPG;Simulation;Strategy
1942660,WWE 2K23,"['Simulation', 'Sports']",Simulation;Sports
655500,MX Bikes,"['Racing', 'Simulation', 'Sports', 'Early Access']",Racing;Simulation;Sports;Early Access
768200,Smalland: Survive the Wilds,"['Action', 'Adventure', 'Indie', 'RPG']",Action;Adventure;Indie;RPG
42700,Call of Duty®: Black Ops,['Action'],Action
1973530,Limbus Company,[],
960090,Bloons TD 6,['Strategy'],Strategy
703080,Planet Zoo,"['Casual', 'Simulation', 'Strategy']",Casual;Simulation;Strategy
